Year,Biological,Chemical,Explosives,Fake_Weapons,Firearms,Incendiary,Melee,Other,Radiological,Sabotage_Equipment,Unknown
1970,0,3,337,0,80,176,2,0,0,1,42
1971,0,1,239,0,100,92,2,0,0,0,26
1972,0,0,253,1,245,22,5,0,0,0,20
1973,0,4,160,0,201,49,7,0,0,0,42
1974,0,4,291,1,190,42,6,0,1,0,36
1975,0,3,373,0,244,74,3,0,0,0,27
1976,0,2,408,0,267,153,13,1,0,0,45
1977,0,1,623,0,306,259,7,0,0,0,81
1978,0,2,631,0,421,206,19,0,0,2,146
1979,0,4,978,1,814,190,16,4,1,1,393
1980,0,2,933,1,1059,167,8,1,0,0,316
1981,1,0,1022,0,939,131,6,0,0,5,253
1982,0,0,1044,0,826,167,15,2,0,1,224
1983,0,0,1106,0,1014,112,14,0,0,0,268
1984,4,3,1546,0,970,157,16,1,0,5,317
1985,0,,1236,0,777,145,9,0,1,0,233
1986,0,1,1380,0,680,167,20,0,0,2,328
1987,0,2,1304,0,1049,166,10,0,0,2,304
1988,0,3,1556,0,1464,167,23,1,0,3,141
1989,0,3,1765,0,1744,289,83,1,0,1,88
1990,2,2,1650,0,1450,262,87,1,0,4,39
1991,0,4,1841,2,1706,366,97,5,0,0,119
1992,0,4,1614,0,1869,520,247,9,0,3,305
1994,0,5,1081,2,1124,276,150,2,0,0,466
1995,0,13,691,5,1044,454,169,2,0,1,386
1996,0,0,1038,5,795,314,92,0,0,0,376
1997,0,5,977,1,878,179,182,0,0,0,519
1998,0,10,493,1,223,61,38,0,0,2,26
1999,0,6,606,0,392,145,45,11,0,1,66
2000,0,7,914,1,524,129,50,1,10,2,86
2001,17,6,795,0,703,137,53,1,0,3,99
2002,0,9,693,0,395,82,34,2,0,0,52
2003,2,15,677,2,364,89,28,1,0,2,39
2004,1,2,665,0,343,25,14,0,0,0,43
2005,1,1,1024,1,684,68,33,0,0,1,84
2006,0,0,1435,0,863,89,57,2,0,0,97
2007,0,9,1775,0,971,71,48,2,0,7,84
2008,0,9,2676,1,1217,256,100,4,0,10,315
2009,0,8,2593,0,1173,346,68,5,0,7,313
2010,1,8,2677,2,1313,268,96,0,0,6,326
2011,1,1,2649,1,1559,207,123,2,0,18,293
2012,0,12,5092,0,2371,246,52,2,0,3,229
2013,3,13,6885,0,3409,488,94,7,0,5,397
2014,0,18,9124,2,4834,614,207,13,0,1,1276
2015,0,23,8020,0,3796,674,375,6,0,10,1304
2016,0,31,7328,0,3342,617,327,8,0,5,1359
2017,0,28,5323,1,3070,646,303,11,0,10,1195
2018,0,11,3725,0,3201,628,237,13,0,10,1301